Loading inputs..
UserId:ItemId,Prediction
38212:2294449,7.21903
38212:2250234,5.79445
38212:2245084,7.27725
38212:2235779,6.64718
38212:2234155,6.67168
38212:2229499,7.4165
38212:2194499,6.80092
38212:2172934,7.03877
38212:2105044,5.46
38212:2103281,7.37671
38212:2101341,6
38212:2034139,5.60178
38212:2025667,4.77514
38212:2004420,7.22001
38212:1990314,5.59323
38212:1981677,6.5717
38212:1956620,7.39394
38212:1935179,6.37067
38212:1931435,6.19723
38212:1924435,7.00714
38212:1912398,5.68623
38212:1857842,6
38212:1853739,5.96373
38212:1833879,6.79425
38212:1821658,5.69883
38212:1800246,6.83404
38212:1791681,5.3421
38212:1767382,5.51694
38212:1725073,4.90813
38212:1712578,5.08386
38212:1684233,6
38212:1646971,6.84601
38212:1641975,4.73583
38212:1631867,7.37794
38212:1610394,5.616
38212:1602613,5.79238
38212:1590950,5.43384
38212:1582507,5.3196
38212:1549920,6.16745
38212:1540761,5.85521
38212:1540133,5.51676
38212:1536410,5.93717
38212:1531663,4.97943
38212:1502712,5.616
38212:1462757,5.27646
38212:1446192,6.41475
38212:1418377,7.39478
38212:1366365,5.91821
38212:1340138,5.616
38212:1321860,6.50658
38212:1313244,5.2221
38212:1297919,5.48381
38212:1291150,7.3783
38212:1227789,4.73091
38212:1226229,5.42318
38212:1210819,6
38212:1129415,5.616
38212:1109624,7.44246
38212:1047011,5.12861
38212:1023114,5.65527
38212:993846,7.41687
38212:961097,5.61574
38212:831387,7.39689
38212:816462,4.75839
38212:805570,5.08334
38212:478970,5.616
38212:477095,5.5636
38212:470752,5.616
38212:369610,5.616
38212:365907,7.18747
38212:355295,5.62376
38212:283054,6.55766
38212:81793,5.71291
38202:2402157,4.79584
38202:2179136,4.39787
38202:1872194,4.57114
38202:1790864,4.83728
38186:2381941,6
38186:1932767,7.60331
38186:1587310,7.35706
38186:976051,7.92188
38186:914798,8.08163
38186:825232,7.80822
38186:119217,8.61607
38168:2446042,6.51282
38168:2024469,7.35862
38168:1726592,6.44944
38168:1659338,5.38095
38168:1613750,7.59292
38168:1600196,7.00485
38168:896872,7.54167
38168:831387,6.74567
38168:365907,6.57724
38168:338337,6.64
38168:253474,8.16316
38168:172495,8.92308
38168:118541,6
38168:114781,5.8
38168:102288,6
38168:95631,8
38168:84684,6
38168:79766,8
38168:79117,8
38167:2279373,8.5
38167:2226417,8.53997
38167:2224026,8.5
38167:1483013,8.6569
38167:1340138,8.5
38167:1210819,8.66602
38167:848228,8.63861
38167:458339,8.69365
38167:369610,8.5
38140:3316948,6.92453
38140:3203616,6.92453
38140:3181822,6.92453
38140:3079380,6.92453
38140:3045616,6.92453
38140:2967224,6.92453
38140:2848292,6.92453
38140:2820852,6.92453
38140:2802144,6.84884
38140:2726560,6.92453
38140:2717860,6.05925
38140:2692250,7.38954
38140:2637294,6.92453
38140:2637276,6.92453
38140:2577172,6.92453
38140:2561572,6.92453
38140:2446042,7.18376
38140:2436386,6.92453
38140:2395427,6.92453
38140:2381941,6.92453
38140:2358925,6.92453
38140:2293640,6.92453
38140:2245084,7.99954
38140:2229499,6.87756
38140:2223990,7.23774
38140:2203308,7.35107
38140:2179136,6.84775
38140:2140619,6.89351
38140:2084970,6.54448
38140:2039393,7.83646
38140:1980209,7.24204
38140:1972779,7.77731
38140:1951265,7.44087
38140:1945084,6.92453
38140:1911658,6.16356
38140:1826590,7.12518
38140:1823672,6.92453
38140:1760967,6.93422
38140:1674771,6.92453
38140:1661199,6.92453
38140:1528100,7.99328
38140:1457767,7.14669
38140:1392190,6.92453
38140:1340138,6.92453
38140:1273235,6.12758
38140:1187043,7.83614
38140:1135084,6.86162
38140:1100089,6.46168
38140:1065073,7.49927
38140:884732,6.05634
38140:840361,7.85867
38140:829150,7.39067
38140:479143,7.4261
38140:478970,6.92453
38140:470752,6.92453
38140:431308,6.63601
38140:407887,7.12271
38140:405159,6.95889
38140:378194,7.86158
38140:372588,7.12931
38140:369610,6.92453
38140:369339,6.86206
38140:362478,7.37281
38140:361748,6.87174
38140:338751,6.01541
38140:266697,7.2703
38140:248126,7.83265
38140:247745,7.76902
38140:172684,7.05037
38140:166175,6.60849
38140:100507,7.09956
38140:89927,7.06964
38140:84602,6.44748
38140:79817,7.05388
38140:75148,7.78282
38140:74812,6.89159
38106:3321300,6.34848
38106:3169706,6.5513
38106:3079380,6.34848
38106:2872718,6.09804
38106:2802144,5.646
38106:2717860,6.67477
38106:2561572,6.34848
38106:2555736,6.34848
38106:2452200,5.40189
38106:2446042,7.02331
38106:2404425,6.34848
38106:2395427,6.34848
38106:2381941,6.34848
38106:2381249,6.34848
38106:2278388,6.92298
38106:2179136,7.18252
38106:2172985,6.43295
38106:2170439,6.92609
38106:2106361,7.22858
38106:2039393,6.13779
38106:1956620,6.76445
38106:1726592,6.20807
38106:1638355,6.34848
38106:1091191,7.5421
38106:369610,6.34848
38106:175880,4.69939
38090:4359416,7.90476
38090:4226388,7.90476
38090:2870612,8.83317
38090:2802144,8.55435
38090:2800240,8.1201
38090:2562232,9.8094
38090:2076220,8.5871
38090:1707380,7.90476
38090:1340138,7.90476
38090:1250777,8.43148
38090:1014763,7.90476
38090:458481,9.43833
38090:183649,8.30871
38090:94651,7.90476
38090:90728,7.06813
38090:84602,7.54886
38090:82694,5.9426
38090:75675,9.76571
38090:64116,8.78578
38090:47892,7.25958
38067:2980516,5.72331
38067:2397535,5.94681
38067:1385826,5.85301
38067:758758,5.82868
38067:493464,5.92422
38038:4353376,6.48077
38038:2980516,8.25476
38038:2937898,7.45703
38038:2872718,7.983
38038:2582802,8.58527
38038:2562232,7.54473
38038:2179136,7.50268
38038:2170439,6.54609
38038:1872194,8.73022
38038:1100089,7.46636
38038:1020072,7.48985
38038:470752,6.48077
38038:99077,5.36475
38038:72890,7.90078
38003:3395184,7.09046
38003:3322420,7.3073
38003:2980516,7.83642
38003:2944198,7.09046
38003:2820852,7.09046
38003:2718492,7.39657
38003:2717822,6.80394
38003:2692250,6.65799
38003:2614684,7.54562
38003:2582802,7.55035
38003:2562232,7.82115
38003:2551396,6.01555
38003:2517658,6.62902
38003:2503154,6.73567
38003:2493486,7.09046
38003:2438644,7.30048
38003:2404461,7.60651
38003:2402603,6.81355
38003:2272350,6.82307
38003:2261331,6.51781
38003:2245084,7.40495
38003:2183034,5.8031
38003:2180411,7.95101
38003:2170439,7.15747
38003:2149360,6.79709
38003:2084970,8.25982
38003:2039345,6.23532
38003:1991031,7.09046
38003:1977895,5.77675
38003:1869716,7.64654
38003:1850397,6.90127
38003:1809398,7.17448
38003:1780798,7.09046
38003:1667905,7.12369
38003:1600196,8.2324
38003:1571249,7.23899
38003:1528100,6.99305
38003:1440266,7.59226
38003:1078188,7.18274
38003:1065073,8.17582
38003:1024942,7.27997
38003:947802,6.66583
38003:918575,6.69335
38003:488085,7.1169
38003:435651,7.40252
38003:418778,7.4734
38003:384116,6.86397
38003:280665,6.72588
38003:269095,6.83568
38003:266452,6.62812
38003:257756,6.62349
38003:253754,7.44181
38003:202677,5.93291
38003:171580,7.09046
38003:142804,7.09046
38003:119683,6.83238
38003:119038,7.32478
38003:114478,7.78174
38003:112857,6.93345
38003:110265,7.67385
38003:109045,6.82481
38003:107034,6.28798
38003:98206,6.80477
38003:97659,6.9485
38003:94886,7.09046
38003:91860,7.53126
38003:90192,5.46614
38003:89755,7.08245
38003:86637,7.65221
38003:84707,7.1298
38003:79073,6.75147
38003:73341,7.21954
38003:71129,7.25831
38003:67328,5.3694
38003:61395,6.91326
38003:58182,7.41078
38003:54269,7
38003:38854,6.87221
38003:31971,7.14666
37995:3079380,6
37995:2267998,8.33595
37995:1655441,6
37995:1454029,8.56111
37995:1119646,7.86875
37995:356910,6.7069
37995:172493,7.46875
37989:2967224,6
37989:2848292,6
37989:2820852,6
37989:2637276,6
37989:2398249,5.42857
37989:2395427,6
37989:2293640,6
37989:2239832,6.01961
37989:1621045,6.75472
37989:1542344,7.92701
37989:1502712,6
37989:1392190,6
37989:1091722,6.92982
37989:884732,8
37989:478970,6
37989:458525,7.02804
37989:369610,6
37928:2820852,10
37928:2802144,10
37928:816692,10
37928:104797,10
37928:85794,10
37910:2872718,7.90318
37910:2788710,8.05255
37910:2713180,8.03646
37910:2279373,6.83421
37910:2278388,8.80877
37910:1980929,6.84466
37910:1911658,7.69162
37910:1855325,4.2927
37910:1605717,6.4919
37910:1528071,6.8042
37910:1441395,6.00549
37910:1028532,7.91401
37910:364045,5.83642
37910:361862,7.84623
37876:2820852,8.11111
37876:2395427,8.11111
37876:2084970,8.14837
37876:1065073,8.08844
37849:2802144,9.80081
37849:2582802,7.71273
37849:2446042,9.33397
37849:2381941,8.125
37849:2231253,8.125
37849:1823672,8.125
37849:1726592,7.24551
37849:1617661,8.125
37849:363771,8.02745
37802:3713166,6.6413
37802:3479316,6.6413
37802:3235888,8.08759
37802:2820852,6.6413
37758:3863552,8
37758:2980516,9.07968
37758:2872750,8
37758:2848292,8
37758:2562232,9.13413
37758:2515086,8.22668
37758:2395427,8
37758:2381249,8
37758:2293640,8
37758:2279373,8
37758:2224026,8
37758:2096673,8
37758:1865505,8
37758:478970,8
37758:369610,8
37758:308644,7.7231
37758:245429,8.82645
37758:95270,8.10465
37743:3416742,8.4676
37743:3042408,8.66475
37743:3011894,8.13648
37743:2381249,7.625
37743:2305051,8.85614
37743:2084970,8.38428
37743:1809398,8.39151
37743:1798684,7.625
37743:1065073,8.23103
37743:478970,7.625
37740:1169809,7.45833
37740:831387,8.34905
37740:107943,9.71955
37740:56443,7.45833
37738:454876,8.13747
37738:120338,8.43511
37738:109830,9.01324
37731:3011894,10
37731:3007512,10
37731:2883512,10
37731:2614684,10
37731:2278388,10
37731:2106284,10
37731:875113,10
37731:182694,10
37731:52561,10
37729:4257858,7.23077
37729:3612616,8.28137
37729:3416742,7.36626
37729:2884206,8.02839
37729:2718492,8.48565
37729:2692904,8.05671
37729:2582802,8.23791
37729:2570858,7.23077
37729:2562232,7.99627
37729:2397535,7.43901
37729:2395427,7.23077
37729:2366608,7.23077
37729:2305051,7.43699
37729:2245084,6.973
37729:2084989,8.11747
37729:2084970,7.62324
37729:1951265,7.14435
37729:1865505,7.23077
37729:1446714,6.50861
37729:1392190,7.23077
37729:1109624,7.00567
37729:1100089,8.12054
37729:485601,7.42219
37729:477348,6.7308
37729:446029,6.37336
37729:369610,7.23077
37729:103874,6.385
37729:82766,7.98548
37729:82307,8
37729:78748,8
37729:69995,7.47604
37729:68646,7.9974
37723:2967006,7.20042
37723:2883512,7.40909
37723:2848292,7.18182
37723:2802144,7.29321
37723:2713180,7.35592
37723:2395427,7.18182
37723:2381249,7.18182
37723:2377322,7.41579
37723:2294449,7.43305
37723:2245084,7.65222
37723:2203939,7.53943
37723:2180411,7.702
37723:2109248,7.41105
37723:2103254,7.67392
37723:2023587,7.31716
37723:1991245,7.19764
37723:1956620,7.52946
37723:1951265,7.61479
37723:1924435,7.46702
37723:1920849,7.25545
37723:1904996,7.20166
37723:1855325,7.30418
37723:1840309,7.43854
37723:1800246,7.35468
37723:1780762,7.45507
37723:1742044,7.49907
37723:1731141,7.35645
37723:1712170,6.82568
37723:1646971,7.60078
37723:1631867,7.42135
37723:1369706,6.28744
37723:1291150,7.48907
37723:1267297,7.47911
37723:1258972,7.10465
37723:1253863,7.34899
37723:1235522,7.15215
37723:1205537,7.26182
37723:1175506,7.44563
37723:1109624,7.47397
37723:831387,7.42574
37723:829150,7.64397
37723:790636,7.30212
37723:785007,8
37723:481499,7.26502
37723:479952,7.18586
37723:478970,7.18182
37723:458481,7.43558
37723:404978,7.37558
37723:369610,7.18182
37723:353014,7.12631
37723:332452,6.80754
37723:120177,7.18498
37723:118929,7.44377
37723:116365,7.69303
37723:82700,7.64126
37723:48280,7.45699
37718:2561572,7.78788
37718:2381249,7.78788
37718:2245084,6.77318
37718:1116184,7.74787
37718:1029360,7.78788
37718:478970,7.78788
37696:3247714,9.26974
37696:2820852,9.26974
37696:2802144,8.13358
37696:2446042,10
37696:2395427,9.26974
37696:2226417,9.00368
37696:2109248,10
37696:1922777,10
37696:1403865,9.32732
37696:1235522,10
37696:1121931,10
37696:1091191,10
37696:1080016,10
37696:1020558,10
37696:985694,10
37696:479884,9.80755
37696:472399,9.73105
37696:472033,7.63296
37696:443559,9.29806
37696:438097,8.98375
37696:433362,8.8175
37696:413300,8.38683
37696:389860,10
37696:389722,9.2866
37696:388482,8.82041
37696:376105,8.90995
37696:371606,9.08112
37696:351283,8.15412
37696:343818,8.7921
37696:342258,9.54146
37696:338526,9.41297
37696:331632,10
37696:322259,9.39305
37696:317219,8.66727
37696:316654,8.37834
37696:311429,10
37696:271668,8.5005
37696:268380,8.79987
37696:265087,8.23628
37696:252866,10
37696:232500,8.81834
37696:211443,9.84967
37696:166813,9.41758
37696:165982,8.84896
37696:145487,10
37696:133240,8.70791
37696:120630,7.47168
37696:120623,8.70856
37696:120587,8.14244
37696:119654,7.81702
37696:119282,8.98784
37696:118617,8.22513
37696:112453,10
37696:110657,8.30125
37696:109686,8.81923
37696:101414,10
37696:101329,9.69207
37696:100477,9.48877
37696:96787,9.47908
37696:95776,10
37696:95489,10
37696:93177,10
37696:91149,9.71115
37696:90633,10
37696:86250,10
37696:85750,8.36299
37696:82406,9.50645
37696:76915,9.26974
37696:76363,8.28351
37696:61852,10
37688:3205376,6
37688:2273657,6
37688:1014763,6
37685:3316960,6.37015
37685:3203616,6.04255
37685:2910814,5.61922
37685:2908446,6.04255
37685:2872718,6.22618
37685:2820852,6.04255
37685:2614684,6.81222
37685:2446042,7.21975
37685:2401807,4.75281
37685:2395427,6.04255
37685:2388715,5.85566
37685:2387433,5.18011
37685:2381249,6.04255
37685:2345737,5.86865
37685:2333784,6.58337
37685:2290553,6.21035
37685:2193215,6.89356
37685:2179136,5.65455
37685:2172934,5.7272
37685:2126355,6.04255
37685:2011159,6.26476
37685:1971325,5.2025
37685:1964418,6.04255
37685:1855199,6.7952
37685:1747958,5.69988
37685:1726592,5.75695
37685:1716777,6.18537
37685:1598642,6.04255
37685:1392190,6.04255
37685:1216491,6.08071
37685:1059836,5.38818
37685:829150,6.82511
37685:756683,6.22155
37685:478970,6.04255
37685:470752,6.04255
37685:435651,6.95579
37685:369610,6.04255
37685:365907,6.908
37680:2948790,8.375
37680:2911666,8.92697
37680:2908446,8.375
37680:2883512,8.86074
37680:2802144,8.85916
37680:2737050,8.864
37680:2637276,8.375
37680:2397535,8.6563
37680:2393845,8.375
37680:2381941,8.375
37680:2369135,8.89428
37680:2359024,8.74699
37680:2231253,8.375
37680:2199571,8.375
37680:2180411,8.54698
37680:2126355,8.375
37680:2084970,8.54742
37680:1951265,8.33981
37680:1921070,8.82624
37680:1692486,8.56782
37680:1675434,8.62106
37680:1605717,8.76459
37680:1486192,8.81057
37680:1340138,8.375
37680:1313092,8.69263
37680:1266029,8.375
37680:1194173,8.74051
37680:1109624,8.16383
37680:910905,8.65081
37680:838221,8.64469
37680:800241,8.28142
37680:470752,8.375
37680:419677,8.85827
37680:369610,8.375
37680:292963,8.45157
37680:172495,8.70173
37680:119217,8.70449
37680:118715,8.56004
37680:115685,8.53415
37680:111503,8.71043
37680:103772,9.15071
37680:98635,8.2939
37680:95159,8.84737
37680:93773,8.94993
37680:86979,8.59498
37680:76759,8.89836
37676:2997766,8
37676:2908856,8
37676:2802144,8
37676:2562232,8
37676:2096673,8
37676:963966,8
37676:257044,8
37671:3203616,6
37671:2637276,6
37671:2398249,5.42857
37671:2170439,6.62667
37671:2024469,7.35862
37671:2024432,5.99087
37671:1634122,5.95652
37671:1499658,7.13475
37671:1433811,7.80049
37671:1375670,6.51
37671:1232200,5.93827
37671:810913,3.96875
37671:762107,6.3
37671:430922,6.67647
37671:315327,7.09091
37671:305224,6.7931
37671:274166,6.75
37671:142342,7.45
37671:109830,9.01324
37655:2179136,8.18719
37655:452702,8.01286
37655:47119,8.58494
37655:44413,7.42119
37643:2788710,6.7621
37643:2637276,6
37643:1637725,6.96763
37643:816692,8.68058
37601:3247714,7.30108
37601:2908446,7.30108
37601:2820852,7.30108
37601:2802136,7.30108
37601:2637294,7.30108
37601:2582846,6.77632
37601:2582802,7.48082
37601:2436386,7.30108
37601:2230358,7.17771
37601:2179136,8.44578
37601:2170439,7.53297
37601:2097298,7.30108
37601:1951265,7.11296
37601:1911658,7.37639
37601:1840309,7.44423
37601:1823672,7.30108
37601:1809398,8.15366
37601:1706620,7.75701
37601:1655441,7.30108
37601:1617661,7.30108
37601:1396218,7.32067
37601:1392190,7.30108
37601:1291150,7.21908
37601:1100089,8.0467
37601:884732,7.6952
37599:3532608,8
37599:2980516,8
37599:2713180,8
37599:2562232,8
37599:2387559,8
37599:2096672,8
37599:2004420,8
37599:1956620,8
37599:1637725,8
37599:1535109,8
37599:824747,8
37592:3813310,7.18182
37592:3442990,7.18182
37592:3181822,7.18182
37592:3007302,7.18182
37592:2980592,8.24572
37592:2679042,7.18182
37592:2582802,9.50078
37592:2355495,10
37592:2326612,10
37592:2199571,7.18182
37592:2179136,8.0892
37592:2139555,7.18182
37592:1653002,10
37579:4178092,7.69388
37579:3235888,7.29753
37579:2911666,9.411
37579:2802144,6.46858
37579:2395427,7.69388
37579:2381941,7.69388
37579:2309260,7.69388
37579:2096673,7.69388
37579:2084970,7.67831
37579:1727770,7.69388
37579:1392190,7.69388
37579:884732,8.60701
37579:470752,7.69388
37579:369610,7.69388
37569:2935564,8.375
37569:2562232,8.08878
37569:2084970,8.3722
37569:1772288,8.375
37557:2229499,7.09597
37557:1798684,7
37557:1398426,7
37557:993846,6.75539
37557:450385,5.9571
37557:328538,5
37557:317248,7.40341
37544:2820852,8
37544:2562232,8.29673
37544:2053463,8.22102
37544:1767354,7.80835
37544:1655441,8
37544:816692,8.12249
37525:3474602,9.1
37525:3474600,9.1
37525:2714900,9.63427
37525:2582802,9.2573
37525:2245084,9.36983
37525:2084970,9.41754
37525:1746136,9.1
37525:1655441,9.1
37525:382932,9.04557
37521:2267998,10
37521:1845838,10
37521:816692,9.8393
37511:3765326,6
37511:1032755,7.69091
37511:105151,8.25
37511:93822,7.25
37511:78841,8.27273
37498:3674140,8.26087
37498:387131,7.92771
37498:206314,7.95154
37485:3409392,6.75
37485:3235888,10
37485:3086442,6
37485:2180411,6.53285
37485:2096673,6
37485:408236,8.04054
37485:118799,8.71569
37485:47528,8.35714
37485:40522,8.67568
37478:1979319,2
37478:907657,2
37478:212720,2
37478:110357,2
37464:3316960,5.55742
37464:2937898,6.51685
37464:2911666,7.05082
37464:2883512,7.57645
37464:2713180,7.12649
37464:2582802,6.20093
37464:2562232,6.64958
37464:2415458,6.57143
37464:2395427,6.57143
37464:2381941,6.57143
37464:2381249,6.57143
37464:2273657,6.57143
37464:2199571,6.57143
37464:2179136,6.27452
37464:2106476,6.91456
37464:1872194,6.7827
37464:1706620,7
37464:1674771,6.57143
37464:1600196,7.0589
37464:1458175,7.38783
37464:1392190,6.57143
37464:1182345,7.04927
37464:1100089,6.01351
37464:1091191,7.01961
37464:478970,6.57143
